"","category2","2020","2025","2030","2035","2040","2045","2050"
"1","Paris-compliant","698
 [625.6-699]","612
 [584.6-650.8]","522
 [419.6-564.4]","331
 [296.1-387.7]","238
 [201-305.3]","170
 [147.1-230.3]","133
 [108-163.2]"
"2","Non-compliant","681
 [625.6-699]","656
 [618.5-667.6]","569
 [555.1-597.5]","499
 [462-539.6]","484
 [409.5-521.9]","448
 [323.1-500.9]","393
 [262.2-466.5]"
