"","category2","2015","2020","2025","2030","2035","2040","2045","2050"
"1","Paris-compliant","64.3
 [64.3-64.3]","61.95
 [59.3-64.5]","51.35
 [45.4-54.6]","41
 [34.2-47.9]","24.8
 [14.6-28.5]","13.5
 [6.9-17.2]","5.1
 [0.5-12.3]","1.45
 [0-7.4]"
"2","Non-compliant","64.3
 [63.5-64.3]","59.8
 [56.8-64.5]","55.6
 [54.1-58.6]","52.25
 [48.8-58.6]","47.3
 [36-56]","40.5
 [21.6-55.9]","32.7
 [18.3-51.1]","24.2
 [18.4-44.5]"
